ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,CITY,CITYNAME,COUNTY,COUNTYNAME,CaseYear,DAY,DAY_WEEK,DAY_WEEKNAME,DRUNK_DR,FATALS,FUNC_SYS,FUNC_SYSNAME,HARM_EV,HARM_EVNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,HOUR,HOURNAME,LATITUDE,LATITUDENAME,LGT_COND,LGT_CONDNAME,LONGITUD,LONGITUDNAME,MAN_COLL,MAN_COLLNAME,MILEPT,MILEPTNAME,MINUTE,MINUTENAME,MONTH,MonthName,NHS,NHSNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,PEDS,PERMVIT,PERNOTMVIT,PERSONS,PVH_INVL,ParkWorks,RAIL,RAILNAME,RD_OWNER,RD_OWNERNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,REL_ROAD,REL_ROADNAME,ROAD_FNC,ROAD_FNCNAME,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,SCH_BUS,SCH_BUSNAME,SP_JUR,SP_JURNAME,STATENAME,ST_CASE,State,TWAY_ID,TWAY_ID2,TYP_INT,TYP_INTNAME,VE_FORMS,VE_TOTAL,WEATHER,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHERNAME,WRK_ZONE,WRK_ZONENAME,YEAR
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,2160,FREEPORT,59,NASSAU (59),2013,7,2,Monday,0,1,,,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,12,12:00pm-12:59pm,40.64318333,40.64318333,1,Daylight,-73.597163890,-73.597163890,0,Not a Collision with Motor Vehicle In-Transport,0,None,50,50,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,1,1,1,1,0,,0000000,Not Applicable,,,0,No,3,Intersection-Related ,1,On Roadway,4,Rural-Major Collector,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360001,36,ATLANTIC AVE,WESTEND AVE,2,Four-Way Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2013
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,3360,LONG BEACH,59,NASSAU (59),2019,5,7,Saturday,0,1,7,Local,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,0:00am-0:59am,40.58869444,40.58869444,3,Dark - Lighted,-73.662416670,-73.662416670,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,99998,Not Reported,30,30,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,2,1,2,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360002,36,E PARK AVE,,1,Not an Intersection,1,1,2,2,Rain,0,No Additional Atmospheric Conditions,Rain,0,None,2019
17,5:00pm-5:59pm,41,41,0,None,0,None,0,None,3380,LYNBROOK,59,NASSAU (59),2019,5,7,Saturday,0,1,7,Local,8,Pedestrian,18,6:00pm-6:59pm,8,8,17,5:00pm-5:59pm,40.65161944,40.65161944,3,Dark - Lighted,-73.669516670,-73.669516670,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,99998,Not Reported,40,40,1,January,0,This section IS NOT on the NHS,17,5:00pm-5:59pm,39,39,1,1,1,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360003,36,ATLANTIC AVE,CARTER CT,3,T-Intersection,1,1,2,2,Rain,0,No Additional Atmospheric Conditions,Rain,0,None,2019
14,2:00pm-2:59pm,2,2,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2013,8,3,Tuesday,0,1,,,8,Pedestrian,14,2:00pm-2:59pm,4,4,13,1:00pm-1:59pm,40.85517500,40.85517500,1,Daylight,-73.535080560,-73.535080560,0,Not a Collision with Motor Vehicle In-Transport,0,None,58,58,1,January,0,This section IS NOT on the NHS,13,1:00pm-1:59pm,59,59,1,1,1,1,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,1,On Roadway,5,Rural-Minor Collector,4,County Road,,,0,No,0,No Special Jurisdiction,New York,360004,36,CR-106,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2013
1,1:00am-1:59am,14,14,0,None,0,None,0,None,2160,FREEPORT,59,NASSAU (59),2014,1,4,Wednesday,0,1,,,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,1:00am-1:59am,40.64387222,40.64387222,3,Dark - Lighted,-73.595144440,-73.595144440,0,Not a Collision with Motor Vehicle In-Transport,0,None,10,10,1,January,0,This section IS NOT on the NHS,1,1:00am-1:59am,10,10,1,2,1,2,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,1,On Roadway,16,Urban-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360004,36,ATLANTIC AVE,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2014
16,4:00pm-4:59pm,18,18,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2018,3,4,Wednesday,0,1,7,Local,8,Pedestrian,16,4:00pm-4:59pm,29,29,16,4:00pm-4:59pm,40.60670000,40.60670000,1,Daylight,-73.655352780,-73.655352780,0,Not a Collision with Motor Vehicle In-Transport,0,None,15,15,1,January,0,This section IS NOT on the NHS,16,4:00pm-4:59pm,16,16,1,1,1,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360005,36,LONG BEACH RD,WATERFORD RD,4,Y-Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2018
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2015,5,2,Monday,0,1,7,Local,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,18,6:00pm-6:59pm,40.70445278,40.70445278,3,Dark - Lighted,-73.624008330,-73.624008330,0,Not a Collision with Motor Vehicle In-Transport,0,None,20,20,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,1,1,1,1,0,,0000000,Not Applicable,25,Other Local Agency,0,No,1,Non-Junction,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360008,36,PENNINSULA BLVD,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2015
23,11:00pm-11:59pm,5,5,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2013,15,3,Tuesday,0,1,,,8,Pedestrian,23,11:00pm-11:59pm,22,22,22,10:00pm-10:59pm,40.70936667,40.70936667,2,Dark - Not Lighted,-73.609616670,-73.609616670,0,Not a Collision with Motor Vehicle In-Transport,0,None,58,58,1,January,0,This section IS NOT on the NHS,22,10:00pm-10:59pm,59,59,1,2,1,2,0,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,16,Urban-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360009,36,HENDRICKSON AVE,FRONT ST,3,T-Intersection,1,1,2,2,Rain,0,No Additional Atmospheric Conditions,Rain,0,None,2013
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,3360,LONG BEACH,59,NASSAU (59),2013,17,5,Thursday,0,1,,,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,5,5:00am-5:59am,40.58842222,40.58842222,3,Dark - Lighted,-73.658211110,-73.658211110,0,Not a Collision with Motor Vehicle In-Transport,0,None,23,23,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,1,1,1,1,0,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,16,Urban-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360011,36,E PARK AVE,LONG BEACH BLVD,2,Four-Way Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2013
19,7:00pm-7:59pm,45,45,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2015,9,6,Friday,0,1,2,Principal Arterial - Other Freeways and Expressways,42,Tree (Standing Only),99,Unknown,99,Unknown EMS Hospital Arrival Time,19,7:00pm-7:59pm,40.80160278,40.80160278,3,Dark - Lighted,-73.460827780,-73.460827780,0,Not a Collision with Motor Vehicle In-Transport,0,None,40,40,1,January,1,This section IS ON the NHS,19,7:00pm-7:59pm,40,40,0,1,0,1,0,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,3,On Median,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360012,36,SR-908G,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2015
